code|name|vocabulary
A06AC55|linseed, combinations|ATC
A06AD01|magnesium carbonate; oral|ATC
A06AD02|magnesium oxide; oral|ATC
A06AD03|magnesium peroxide|ATC
A06AD04|magnesium sulfate; oral|ATC
A06AD10|mineral salts in combination|ATC
A06AD11|lactulose; oral|ATC
A06AD12|lactitol; oral|ATC
A06AD13|sodium sulfate|ATC
A06AD14|pentaerithrityl|ATC
A06AD15|macrogol; oral|ATC
A06AD16|mannitol|ATC
A06AD17|sodium phosphate; oral|ATC
A06AD18|sorbitol; oral|ATC
A06AD19|magnesium citrate|ATC
A06AD21|sodium tartrate|ATC
A06AD61|lactulose, combinations|ATC
A06AD65|macrogol, combinations|ATC
A06AG01|sodium phosphate; rectal|ATC
A06AG02|bisacodyl; rectal|ATC
A06AG03|dantron, incl. combinations; rectal|ATC
A06AG04|glycerol; rectal|ATC
A06AG06|oil; rectal|ATC
A06AG07|sorbitol; rectal|ATC
A06AG10|docusate sodium, incl. combinations; rectal|ATC
A06AG11|sodium lauryl sulfoacetate, incl. combinations; rectal|ATC
A06AG20|enemas - combinations; rectal|ATC
A06AH01|methylnaltrexone bromide; parenteral|ATC
A06AH02|alvimopan|ATC
A06AH03|naloxegol; oral|ATC
A06AH04|naloxone|ATC
A06AH05|naldemedine; oral|ATC
A06AX01|glycerol|ATC
A06AX02|carbon dioxide producing drugs|ATC
A06AX03|lubiprostone|ATC
A06AX04|linaclotide; oral|ATC
A06AX05|prucalopride; oral|ATC
A06AX06|tegaserod; oral|ATC
A06AX07|plecanatide; oral|ATC
A06AX08|tenapanor|ATC
A06AX09|elobixibat|ATC
A07AA01|neomycin; oral|ATC
A07AA02|nystatin; oral|ATC
A07AA03|natamycin; oral|ATC
A07AA04|streptomycin|ATC
A07AA05|polymyxin B; oral|ATC
A07AA06|paromomycin; oral|ATC
A07AA07|amphotericin B; oral|ATC
A07AA08|kanamycin; oral|ATC
A07AA09|vancomycin; oral|ATC
A07AA10|colistin; oral|ATC
A07AA11|rifaximin; oral|ATC
A07AA12|fidaxomicin; oral|ATC
A07AA13|rifamycin; oral|ATC
A07AA51|neomycin, combinations|ATC
A07AA54|streptomycin, combinations|ATC
A07AB02|phthalylsulfathiazole; oral|ATC
A07AB03|sulfaguanidine; oral|ATC
A07AB04|succinylsulfathiazole|ATC
A07AC01|miconazole; oral|ATC
A07AX01|broxyquinoline|ATC
A07AX02|acetarsol|ATC
A07AX03|nifuroxazide; oral|ATC
A07AX04|nifurzide|ATC
A07BA01|medicinal charcoal; oral|ATC
A07BA51|medicinal charcoal, combinations|ATC
A07BC01|pectin|ATC
A07BC02|kaolin|ATC
A07BC03|crospovidone|ATC
A07BC04|attapulgite|ATC
A07BC05|diosmectite; oral|ATC
A07BC30|other intestinal adsorbents - combinations|ATC
A07BC54|attapulgite, combinations|ATC
A07DA01|diphenoxylate; oral|ATC
A07DA02|opium; oral|ATC
A07DA03|loperamide; oral|ATC
A07DA04|difenoxin|ATC
A07DA05|loperamide oxide; oral|ATC
A07DA06|eluxadoline; oral|ATC
A07DA52|morphine, combinations|ATC
A07DA53|loperamide, combinations|ATC
A07EA01|prednisolone|ATC
A07EA02|hydrocortisone|ATC
A07EA03|prednisone|ATC
A07EA04|betamethasone|ATC
A07EA05|tixocortol|ATC
A07EA06|budesonide; oral, sublingual|ATC
A07EA07|beclometasone|ATC
A07EB01|cromoglicic acid; oral|ATC
A07EC01|sulfasalazine; oral, rectal|ATC
A07EC02|mesalazine; oral, rectal|ATC
A07EC03|olsalazine; oral|ATC
A07EC04|balsalazide; oral|ATC
A07FA01|lactic acid producing organisms|ATC
A07FA02|saccharomyces boulardii; oral|ATC
A07FA03|escherichia coli|ATC
A07FA51|lactic acid producing organisms, combinations|ATC
A07XA01|albumin tannate; oral|ATC
A07XA02|ceratonia|ATC
A07XA03|calcium compounds|ATC
A07XA04|racecadotril|ATC
A07XA06|crofelemer|ATC
A07XA51|albumin tannate, combinations|ATC
A08AA01|phentermine; oral|ATC
A08AA02|fenfluramine; oral|ATC
A08AA03|amfepramone; oral|ATC
A08AA04|dexfenfluramine; oral|ATC
A08AA05|mazindol; oral|ATC
A08AA06|etilamfetamine|ATC
A08AA07|cathine|ATC
A08AA08|clobenzorex|ATC
A08AA09|mefenorex|ATC
A08AA10|sibutramine; oral|ATC
A08AA11|lorcaserin|ATC
A08AA12|setmelanotide|ATC
A08AA51|phentermine and topiramate|ATC
A08AA56|ephedrine, combinations|ATC
A08AA62|bupropion and naltrexone|ATC
A08AB01|orlistat; oral|ATC
A08AX01|rimonabant; oral|ATC
A09AA01|diastase|ATC
A09AA02|multienzymes (lipase, protease etc.)|ATC
A09AA03|pepsin|ATC
A09AA04|tilactase|ATC
A09AB01|glutamic acid hydrochloride; oral|ATC
A09AB02|betaine hydrochloride; oral|ATC
A09AB03|hydrochloric acid|ATC
A09AB04|citric acid; oral|ATC
A09AC01|pepsin and acid preparations|ATC
A09AC02|multienzymes and acid preparations|ATC
A10AB01|insulin (human); parenteral|ATC
A10AB02|insulin (beef); parenteral|ATC
A10AB03|insulin (pork); parenteral|ATC
A10AB04|insulin lispro; parenteral|ATC
A10AB05|insulin aspart; parenteral|ATC
A10AB06|insulin glulisine; parenteral|ATC
A10AB30|insulins and analogues for injection, fast-acting - combinations; parenteral|ATC
A10AC01|insulin (human); parenteral|ATC
A10AC02|insulin (beef); parenteral|ATC
A10AC03|insulin (pork); parenteral|ATC
A10AC04|insulin lispro; parenteral|ATC
A10AC30|insulins and analogues for injection, intermediate-acting - combinations; parenteral|ATC
A10AD01|insulin (human); parenteral|ATC
A10AD02|insulin (beef); parenteral|ATC
A10AD03|insulin (pork); parenteral|ATC
A10AD04|insulin lispro; parenteral|ATC
A10AD05|insulin aspart; parenteral|ATC
A10AD06|insulin degludec and insulin aspart; parenteral|ATC
